mnis_id,given_name,family_name,display_name,party_mnis_id,party_name,party_membership_start_date,party_membership_end_date
413,Hilary,Benn,Hilary Benn,15,Labour,1999-06-10,
1002,Frederic,Bennett,Sir Frederic Bennett,4,Conservative,1955-12-15,
443,Andrew,Bennett,Andrew Bennett,15,Labour,1974-02-28,
1089,Nicholas,Bennett,Nicholas Bennett,4,Conservative,1987-06-11,
479,Joseph,Benton,Mr Joe Benton,15,Labour,1990-11-08,2015-03-30
4793,Scott,Benton,Scott Benton,4,Conservative,2019-12-12,
4793,Scott,Benton,Scott Benton,8,Independent,2023-04-05,2024-03-25
1077,William,Benyon,Sir William Benyon,4,Conservative,1970-06-18,
1086,Thomas,Benyon,Thomas Benyon,4,Conservative,1979-05-03,
1547,Richard,Benyon,Lord Benyon,4,Conservative,2005-05-05,
1547,Richard,Benyon,Lord Benyon,8,Independent,2019-09-03,
1547,Richard,Benyon,Lord Benyon,4,Conservative,2019-10-30,
1547,Richard,Benyon,Lord Benyon,6,Crossbench,2024-09-10,
17,John,Bercow,John Bercow,4,Conservative,1997-05-01,2009-06-22
17,John,Bercow,John Bercow,4,Conservative,2009-06-22,2015-03-30
17,John,Bercow,John Bercow,47,Speaker,2009-06-22,2015-03-30
17,John,Bercow,John Bercow,47,Speaker,2009-06-22,2017-05-03
17,John,Bercow,John Bercow,4,Conservative,2015-05-07,2017-05-03
17,John,Bercow,John Bercow,47,Speaker,2015-05-07,2019-11-04
17,John,Bercow,John Bercow,4,Conservative,2017-06-08,2019-11-04
17,John,Bercow,John Bercow,47,Speaker,2017-06-08,2019-11-04
103,Alexander,Beresford,Sir Paul Beresford,4,Conservative,1992-04-09,2024-05-30
4036,Luciana,Berger,Baroness Berger,15,Labour,2010-05-06,2019-02-18
4036,Luciana,Berger,Baroness Berger,8,Independent,2019-02-18,2019-04-18
4036,Luciana,Berger,Baroness Berger,1007,Change UK - The Independent Group,2019-04-18,2019-06-04
4036,Luciana,Berger,Baroness Berger,1004,The Independent Group for Change,2019-04-18,2019-06-04
4036,Luciana,Berger,Baroness Berger,8,Independent,2019-06-04,
4036,Luciana,Berger,Baroness Berger,17,Liberal Democrat,2019-09-05,2019-11-06
490,Gerald,Bermingham,Mr Gerry Bermingham,15,Labour,1983-06-09,
1083,Anthony,Berry,Sir Anthony Berry,4,Conservative,1964-10-15,
219,Roger,Berry,Roger Berry,15,Labour,1992-04-09,
4060,James,Berry,Sir Jake Berry,4,Conservative,2010-05-06,2024-05-30
4489,James,Berry,James Berry,4,Conservative,2015-05-07,2017-05-03
1087,Keith,Best,Keith Best,4,Conservative,1979-05-03,
416,Harold,Best,Mr Harold Best,15,Labour,1997-05-01,
394,Clive,Betts,Mr Clive Betts,15,Labour,1992-04-09,
747,Andrew,Bevan,David Gilroy Bevan,4,Conservative,1900-01-01,
4818,Mohammad Saqib,Bhatti,Saqib Bhatti,4,Conservative,2019-12-12,
749,William,Biffen,John Biffen,4,Conservative,1961-11-08,2007-08-14
3994,Andrew,Bingham,Andrew Bingham,4,Conservative,2010-05-06,2017-05-03
1550,Brian,Binley,Mr Brian Binley,4,Conservative,2005-05-05,2015-03-30
3946,Gordon,Birtwistle,Gordon Birtwistle,17,Liberal Democrat,2010-05-06,2015-03-30
4421,Mhairi,Black,Mhairi Black,29,Scottish National Party,2015-05-07,2024-05-30
692,John,Blackburn,Dr John Blackburn,4,Conservative,1900-01-01,
4390,Ian,Blackford,Ian Blackford,29,Scottish National Party,2015-05-07,2024-05-30
329,Elizabeth,Blackman,Liz Blackman,15,Labour,1997-05-01,
4005,Robert,Blackman,Bob Blackman,4,Conservative,2010-05-06,
4357,Kirsty,Blackman,Kirsty Blackman,29,Scottish National Party,2015-05-07,
1501,Roberta,Blackman-Woods,Dr Roberta Blackman-Woods,15,Labour,2005-05-05,2019-11-06
4019,Nicola,Blackwood,Baroness Blackwood of North Oxford,4,Conservative,2010-05-06,
512,Anthony,Blair,Mr Tony Blair,15,Labour,1983-06-09,
4864,Olivia,Blake-Dagnall,Olivia Blake,15,Labour,2019-12-12,
750,Peter,Blaker,Sir Peter Blaker,4,Conservative,1964-10-15,2009-07-05
456,Hazel,Blears,Hazel Blears,15,Labour,1997-05-01,2015-03-30
4037,Tom,Blenkinsop,Tom Blenkinsop,15,Labour,2010-05-06,2017-05-03
138,Robert,Blizzard,Mr Bob Blizzard,15,Labour,1997-05-01,
4058,Paul,Blomfield,Paul Blomfield,15,Labour,2010-05-06,2024-05-30
395,David,Blunkett,Lord Blunkett,15,Labour,1987-06-11,
104,Crispin,Blunt,Crispin Blunt,4,Conservative,1997-05-01,
104,Crispin,Blunt,Crispin Blunt,8,Independent,2023-10-26,2024-05-30
147,Paul,Boateng,Lord Boateng,15,Labour,1987-06-11,
344,Richard,Body,Sir Richard Body,4,Conservative,1996-04-01,
3995,Nicholas,Boles,Nick Boles,4,Conservative,2010-05-06,2019-04-01
3995,Nicholas,Boles,Nick Boles,8,Independent,2019-04-01,2019-11-06
1581,Peter,Bone,Mr Peter Bone,4,Conservative,2005-05-05,2023-10-17
1581,Peter,Bone,Mr Peter Bone,8,Independent,2023-10-17,2023-12-19
4748,Steven,Bonnar,Steven Bonnar,29,Scottish National Party,2019-12-12,2024-05-30
1088,Nicholas,Bonsor,Sir Nicholas Bonsor,4,Conservative,1979-05-03,
982,Albert,Booth,Albert Booth,15,Labour,1900-01-01,2010-02-06
1092,Vernon,Booth,Hartley Booth,4,Conservative,1992-04-09,
679,Betty,Boothroyd,Baroness Boothroyd,6,Crossbench,2001-01-15,2023-02-26
476,David,Borrow,Mr David S. Borrow,15,Labour,1997-05-01,
4502,Victoria,Borwick,Victoria Borwick,4,Conservative,2015-05-07,2017-05-03
751,Robert,Boscawen,Robert Boscawen,4,Conservative,1900-01-01,2013-12-28
1617,Clive,Bossom,Sir Clive Bossom,4,Conservative,1900-01-01,
1618,Terence,Boston,Lord Boston of Faversham,6,Crossbench,1976-07-07,2011-07-23
352,Timothy,Boswell,Lord Boswell of Aynho,4,Conservative,1987-06-11,2012-05-08
352,Timothy,Boswell,Lord Boswell of Aynho,49,Non-affiliated,2012-05-09,
352,Timothy,Boswell,Lord Boswell of Aynho,49,Non-affiliated,2012-05-09,
352,Timothy,Boswell,Lord Boswell of Aynho,4,Conservative,2012-05-09,
4388,Philip,Boswell,Philip Boswell,29,Scottish National Party,2015-05-07,2017-05-03
117,Peter,Bottomley,Sir Peter Bottomley,4,Conservative,1975-06-26,2024-05-30
106,Virginia,Bottomley,Baroness Bottomley of Nettlestone,4,Conservative,1984-05-03,
752,Andrew,Bowden,Sir Andrew Bowden,4,Conservative,1900-01-01,
753,Gerald,Bowden,Gerald Bowden,4,Conservative,1900-01-01,
4601,Andrew,Bowie,Andrew Bowie,4,Conservative,2017-06-08,
754,John,Bowis,John Bowis,4,Conservative,1900-01-01,
686,James,Boyce,Jimmy Boyce,15,Labour,1992-04-09,
755,Roland,Boyes,Roland Boyes,15,Labour,1900-01-01,
756,Rhodes,Boyson,Sir Rhodes Boyson,4,Conservative,1900-01-01,2012-08-28
4588,Tracy,Brabin,Tracy Brabin,15,Labour,2016-10-20,2021-05-10
452,Keith,Bradley,Lord Bradley,15,Labour,1987-06-11,
277,Peter,Bradley,Peter Bradley,15,Labour,1997-05-01,
4110,Karen,Bradley,Dame Karen Bradley,4,Conservative,2010-05-06,
4663,Benjamin,Bradley,Ben Bradley,4,Conservative,2017-06-08,2024-05-30
230,Benjamin,Bradshaw,Mr Ben Bradshaw,15,Labour,1997-05-01,2024-05-30
435,Graham,Brady,Lord Brady of Altrincham,4,Conservative,1997-05-01,
4373,Michael,Brady,Mickey Brady,30,Sinn Féin,2015-05-07,2024-05-30
3497,Bernard,Braine,Lord Braine of Wheatley,4,Conservative,1950-02-23,
151,Thomas,Brake,Tom Brake,17,Liberal Democrat,1997-05-01,2019-11-06
75,Peter,Brand,Dr Peter Brand,17,Liberal Democrat,1997-05-01,
759,Martin,Brandon-Bravo,Martin Brandon-Bravo,4,Conservative,1900-01-01,
760,Gyles,Brandreth,Gyles Brandreth,4,Conservative,1900-01-01,
4475,Sue-Ellen,Braverman,Suella Braverman,4,Conservative,2015-05-07,
761,Jeremy,Bray,Dr Jeremy Bray,15,Labour,1962-01-01,
3979,Angela,Bray,Baroness Bray of Coln,4,Conservative,2010-05-06,
77,Julian,Brazier,Sir Julian Brazier,4,Conservative,1987-06-11,2017-05-03
226,Colin,Breed,Mr Colin Breed,17,Liberal Democrat,1997-05-01,
1400,Kevin,Brennan,Lord Brennan of Canton,15,Labour,2001-06-07,2024-05-30
4643,Jack,Brereton,Jack Brereton,4,Conservative,2017-06-08,2024-05-30
4133,Andrew,Bridgen,Andrew Bridgen,4,Conservative,2010-05-06,2023-01-11
4133,Andrew,Bridgen,Andrew Bridgen,8,Independent,2023-01-11,
4133,Andrew,Bridgen,Andrew Bridgen,1043,The Reclaim Party,2023-05-10,
4133,Andrew,Bridgen,Andrew Bridgen,8,Independent,2023-12-20,2024-05-30
1119,Graham,Bright,Sir Graham Bright,4,Conservative,1979-05-03,
4067,Stephen,Brine,Steve Brine,4,Conservative,2010-05-06,
4067,Stephen,Brine,Steve Brine,8,Independent,2019-09-03,
4067,Stephen,Brine,Steve Brine,4,Conservative,2019-10-30,2024-05-30
1120,Timothy,Brinton,Tim Brinton,4,Conservative,1979-05-03,
4792,Paul,Bristow,Paul Bristow,4,Conservative,2019-12-12,2024-05-30
4838,Sara,Britcliffe,Sara Britcliffe,4,Conservative,2019-12-12,2024-05-30
709,Leon,Brittan,Lord Brittan of Spennithorne,4,Conservative,2000-02-09,2015-01-21
4417,Deidre,Brock,Deidre Brock,29,Scottish National Party,2015-05-07,2024-05-30
762,Christopher,Brocklebank-Fowler,Christopher Brocklebank-Fowler,32,Social Democratic Party,1981-03-16,
1530,James,Brokenshire,James Brokenshire,4,Conservative,2005-05-05,
154,Peter,Brooke,Lord Brooke of Sutton Mandeville,4,Conservative,1977-02-24,2015-09-18
1431,Annette,Brooke,Annette Brooke,17,Liberal Democrat,2001-06-07,2015-03-30
1619,Edwin,Brooks,Edwin Brooks,15,Labour,1900-01-01,
763,Michael,Brotherton,Michael Brotherton,4,Conservative,1900-01-01,
1008,Hugh,Brown,Hugh Brown,15,Labour,1964-10-15,
1055,Robert,Brown,Robert Brown,15,Labour,1966-03-31,
1121,Michael,Brown,Michael Brown,4,Conservative,1979-05-03,
591,James,Brown,Mr Gordon Brown,15,Labour,1983-06-09,2015-03-30
523,Nicholas,Brown,Mr Nicholas Brown,15,Labour,1983-06-09,
588,Russell,Brown,Mr Russell Brown,15,Labour,1997-05-01,2015-03-30
1583,Lyn,Brown,Baroness Brown of Silvertown,15,Labour,2005-05-05,2024-05-30
4470,Alan,Brown,Alan Brown,29,Scottish National Party,2015-05-07,2024-05-30
523,Nicholas,Brown,Mr Nicholas Brown,8,Independent,2022-09-07,2024-05-30
1196,John,Browne,Mr John Browne,9,Independent Conservative,1992-03-13,
620,Desmond,Browne,Lord Browne of Ladyton,15,Labour,1997-05-01,
1575,Jeremy,Browne,Mr Jeremy Browne,17,Liberal Democrat,2005-05-05,2015-03-30
4801,Anthony,Browne,Anthony Browne,4,Conservative,2019-12-12,2024-05-30
236,Angela,Browning,Baroness Browning,4,Conservative,1992-04-09,
246,Ian,Bruce,Mr Ian Bruce,4,Conservative,1987-06-11,
615,Malcolm,Bruce,Lord Bruce of Bennachie,17,Liberal Democrat,1988-03-02,
3958,Fiona,Bruce,Fiona Bruce,4,Conservative,2010-05-06,2024-05-30
3100,John,Bruce-Gardyne,Lord Bruce-Gardyne,4,Conservative,1964-10-15,
765,Peter,Bruinvels,Peter Bruinvels,4,Conservative,1900-01-01,
1042,Paul,Bryan,Sir Paul Bryan,4,Conservative,1955-05-26,
1446,Christopher,Bryant,Chris Bryant,15,Labour,2001-06-07,
721,Norman,Buchan,Norman Buchan,15,Labour,1964-10-15,
4821,Felicity,Buchan,Felicity Buchan,4,Conservative,2019-12-12,2024-05-30
727,Alick,Buchanan-Smith,Alick Buchanan-Smith,4,Conservative,1964-10-15,
1111,Philip,Buck,Sir Antony Buck,4,Conservative,1961-01-01,
199,Karen,Buck,Ms Karen Buck,15,Labour,1997-05-01,2024-05-30
4106,Robert,Buckland,Sir Robert Buckland,4,Conservative,2010-05-06,2024-05-30
726,George,Buckley,George Buckley,15,Labour,1900-01-01,
767,James,Bulmer,Esmond Bulmer,4,Conservative,1974-02-28,
301,Richard,Burden,Richard Burden,15,Labour,1992-04-09,2019-11-06
4613,Michael,Burghart,Alex Burghart,4,Conservative,2017-06-08,
408,Colin,Burgon,Colin Burgon,15,Labour,1997-05-01,
4493,Richard,Burgon,Richard Burgon,15,Labour,2015-05-07,
4493,Richard,Burgon,Richard Burgon,8,Independent,2024-07-23,2025-02-05
3937,Aidan,Burley,Mr Aidan Burley,4,Conservative,2010-05-06,2015-03-30
238,John,Burnett,Lord Burnett,17,Liberal Democrat,1997-05-01,
1427,Andrew,Burnham,Andy Burnham,15,Labour,2001-06-07,2017-05-03
46,Simon,Burns,Sir Simon Burns,4,Conservative,1987-06-11,2017-05-03
3922,Conor,Burns,Sir Conor Burns,4,Conservative,2010-05-06,
3922,Conor,Burns,Sir Conor Burns,8,Independent,2022-10-07,
3922,Conor,Burns,Sir Conor Burns,4,Conservative,2022-12-02,2024-05-30
1449,David,Burnside,David Burnside,38,Ulster Unionist Party,2001-06-07,2003-06-23
1449,David,Burnside,David Burnside,14,Independent Unionist,2003-06-23,2004-01-09
1449,David,Burnside,David Burnside,38,Ulster Unionist Party,2004-01-09,
1518,David,Burrowes,Mr David Burrowes,4,Conservative,2005-05-05,2017-05-03
204,Paul,Burstow,Paul Burstow,17,Liberal Democrat,1997-05-01,2015-03-30
1201,Alistair,Burt,Alistair Burt,4,Conservative,1983-06-09,
1567,Lorely,Burt,Baroness Burt of Solihull,17,Liberal Democrat,2005-05-05,
1201,Alistair,Burt,Alistair Burt,8,Independent,2019-09-03,
1201,Alistair,Burt,Alistair Burt,4,Conservative,2019-10-30,2019-11-06
1157,Christopher,Butler,Christopher Butler,4,Conservative,1987-06-11,
1165,Peter,Butler,Peter Butler,4,Conservative,1992-04-09,
34,Christine,Butler,Christine Butler,15,Labour,1997-05-01,
1489,Dawn,Butler,Dawn Butler,15,Labour,2005-05-05,
4745,Robert,Butler,Rob Butler,4,Conservative,2019-12-12,2024-05-30
241,John,Butterfill,Sir John Butterfill,4,Conservative,1983-06-09,
1620,Ronald,Buxton,Ronald Buxton,4,Conservative,1900-01-01,
524,Stephen,Byers,Mr Stephen Byers,15,Labour,1992-04-09,
524,Stephen,Byers,Mr Stephen Byers,8,Independent,2010-03-22,
4112,Daniel,Byles,Dan Byles,4,Conservative,2010-05-06,2015-03-30
1171,Liam,Byrne,Liam Byrne,15,Labour,2004-07-15,
4831,Ian,Byrne,Ian Byrne,15,Labour,2019-12-12,
4831,Ian,Byrne,Ian Byrne,8,Independent,2024-07-23,2025-02-05
207,John,Cable,Sir Vince Cable,17,Liberal Democrat,1997-05-01,2019-11-06
396,Richard,Caborn,Mr Richard Caborn,15,Labour,1983-06-09,
768,Jocelyn,Cadbury,Jocelyn Cadbury,4,Conservative,1979-05-03,
4389,Ruth,Cadbury,Ruth Cadbury,15,Labour,2015-05-07,
1421,John,Cairns,David Cairns,15,Labour,2001-06-07,2011-05-09
4086,Alun,Cairns,Alun Cairns,4,Conservative,2010-05-06,2024-05-30
770,James,Callaghan,James Callaghan,15,Labour,1900-01-01,
3326,Leonard,Callaghan,Lord Callaghan of Cardiff,15,Labour,1974-02-28,
4770,Amy,Callaghan,Amy Callaghan,29,Scottish National Party,2019-12-12,2024-05-30
1403,Patricia,Calton,Mrs Patsy Calton,17,Liberal Democrat,2001-06-07,2005-05-29
1467,David,Cameron,Lord Cameron of Chipping Norton,4,Conservative,2001-06-07,
4412,Lisa,Cameron,Dr Lisa Cameron,29,Scottish National Party,2015-05-07,2023-10-13
4412,Lisa,Cameron,Dr Lisa Cameron,4,Conservative,2023-10-12,
1009,Ian,Campbell,Ian Campbell,15,Labour,1970-06-01,
514,Ronnie,Campbell,Mr Ronnie Campbell,15,Labour,1987-06-11,2019-11-06
627,Menzies,Campbell,Lord Campbell of Pittenweem,17,Liberal Democrat,1988-03-03,
118,Anne,Campbell,Mrs Anne Campbell,15,Labour,1992-04-09,
